Genre,Poem,Poem Url
Death,"On moonlit heath and lonesome bank The sheep beside me graze; And yon the gallows used to clank Fast by the four cross ways.A careless shepherd once would keep The flock by moonlight there, And high amongst the glimmering sheep",https://www.poets.org/poetsorg/poem/shropshire-lad-ix
Death,"“Lights out"" along the land, “Lights out” upon the sea. The night must put her hiding hand O’er peaceful towns where children sleep, And peaceful ships that darkly creep Across the waves, as if they were not free.The dragons of the air, The hell-hounds of the deep, Lurking and prowling everywhere, Go forth to seek their helpless prey, Not",https://www.poets.org/poetsorg/poem/lights-out-1
Death,"I am a garden of red tulips And late daffodils and bay-hedges, A small sunk garden About an oblong pool With three grey lead Dutch tanks— I am this garden shattered and blown With a day-long western gale And bursts of rapid rain.There are dank petals in the ruffled waters, And muddy flowers upon the path. The grass is",https://www.poets.org/poetsorg/poem/prayer-11
Death,"New moon in midheaven, in Libra. The hermit wields two swords. Temptation overcomes the star. The chariot travails with weakend strength. Death rises to meet every face you meet. Ten wands whittled from prickly ash. Fall in love with a teacher. Build a home on the moon. Grow twinberry and",https://www.poets.org/poetsorg/poem/entry-003-i-love-you-and-im-not-dead
Death,"All the hills and vales alongEarth is bursting into song,And the singers are the chapsWho are going to die perhaps.    O sing, marching men,    Till the valleys ring again.    Give your gladness to earth’s keeping,    So be glad, when you are sleeping.",https://www.poets.org/poetsorg/poem/all-hills-and-vales-along
Death,"A cloud has lowered that shall not soon pass o’er.The world takes sides: whether for impious aimsWith Tyranny whose bloody toll enflamesA generous people to heroic war;Whether with Freedom, stretched in her own gore,Whose pleading hands and suppliant distressStill offer hearts that thirst for RighteousnessA glorious cause to strike or",https://www.poets.org/poetsorg/poem/england-outbreak-balkan-war
Death,"I stood beside his sepulchre whose fame,Hurled over Europe once on bolt and blast,Now glows far off as storm-clouds overpastGlow in the sunset flushed with glorious flame.Has nature marred his mould? Can Art acclaimNo hero now, no man with whom men sideAs with their hearts’ high needs personified?There are will",https://www.poets.org/poetsorg/poem/tomb-napoleon-elections-america-november-1912
Death,your mother shops for a fish               a plastic bag for a gloveyou untangle the wires with the crew               a boy among menyou choose the photograph for the wake               a finger in your,https://www.poets.org/poetsorg/poem/hindi-ko-alam-ng-sasabihin-ko
Death,"—after Donne's ""Meditation XII""What won’t end a life if a vapor will?If this poem were a violent shaking ofThe air by thunder or by cannon, inThat case the air would be condensed aboveThe thickness of water, of water bakedInto",https://www.poets.org/poetsorg/poem/who-less-vapor
Death,"	for Michele Antoinette Pray-Griffiths Ordinary days deliver joy easilyagain & I can't take it. If I could tell youhow her eyes laughed or describethe rage of her suffering, I mustadmit that lately my memoriesare sometimes like a colorwarping in my blue mind.Metal abandoned in",https://www.poets.org/poetsorg/poem/elegy-surrounded-seven-trees
